
time,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Gain,
1.2900,-0.1951,0.4153,-0.3243,0.1041,-0.1344,-0.0196,235.9465,-22.0363,-3.3013,90.7946,
1.2940,-0.3681,0.3851,0.0974,0.1041,-0.1344,-0.0196,235.9465,-22.0363,-3.3013,90.7946,
1.2960,-0.3681,0.3851,0.0974,0.1041,-0.1344,-0.0196,235.9465,-22.0363,-3.3013,90.7946,
1.3390,-0.3681,0.3851,0.0974,0.1041,-0.1344,-0.0196,235.9465,-22.0363,-3.3013,90.7946,
1.3410,-0.3681,0.3851,0.0974,0.1041,-0.1344,-0.0196,235.9465,-22.0363,-3.3013,90.7946,
1.3420,-0.3681,0.3851,0.0974,0.1333,-0.1411,0.0081,235.9465,-22.0363,-3.3013,90.7946,
1.3590,-0.3681,0.3851,0.0974,0.1333,-0.1411,0.0081,235.8940,-22.6630,-3.0151,90.7946,
1.3610,-0.3681,0.3851,0.0974,0.1333,-0.1411,0.0081,235.8940,-22.6630,-3.0151,90.7946,
1.3630,-0.1755,0.3968,-0.0378,0.1333,-0.1411,0.0081,235.8940,-22.6630,-3.0151,90.7946,
1.4040,-0.1755,0.3968,-0.0378,0.1333,-0.1411,0.0081,235.8940,-22.6630,-3.0151,90.7946,
1.4080,-0.1755,0.3968,-0.0378,0.1333,-0.1411,0.0081,235.8940,-22.6630,-3.0151,90.7946,
1.4110,-0.1755,0.3968,-0.0378,0.3090,-0.1478,0.0567,235.8940,-22.6630,-3.0151,90.7946,
1.4270,-0.1755,0.3968,-0.0378,0.3090,-0.1478,0.0567,236.0023,-23.6068,-2.6283,90.7946,
1.4320,-0.3057,0.1682,0.5629,0.3090,-0.1478,0.0567,236.0023,-23.6068,-2.6283,90.7946,
1.4350,-0.3057,0.1682,0.5629,0.3090,-0.1478,0.0567,236.0023,-23.6068,-2.6283,90.7946,
1.4370,-0.3057,0.1682,0.5629,0.3090,-0.1478,0.0567,236.0023,-23.6068,-2.6283,90.7946,
1.4700,-0.3057,0.1682,0.5629,0.3090,-0.1478,0.0567,236.0023,-23.6068,-2.6283,90.6492,
1.4720,-0.3057,0.1682,0.5629,0.3090,-0.1478,0.0567,236.0023,-23.6068,-2.6283,90.6492,
1.4740,-0.3057,0.1682,0.5629,0.1579,0.0136,0.1202,236.0023,-23.6068,-2.6283,90.6492,
1.4940,-0.1384,0.3160,0.3375,0.1579,0.0136,0.1202,236.0023,-23.6068,-2.6283,90.6492,
1.4980,-0.1384,0.3160,0.3375,0.1579,0.0136,0.1202,236.0023,-23.6068,-2.6283,90.6492,
1.5000,-0.1384,0.3160,0.3375,0.1579,0.0136,0.1202,235.7528,-24.9466,-2.0467,90.6492,
1.5380,-0.1384,0.3160,0.3375,0.1579,0.0136,0.1202,235.7528,-24.9466,-2.0467,90.6492,
1.5410,-0.1384,0.3160,0.3375,0.1579,0.0136,0.1202,235.7528,-24.9466,-2.0467,90.6492,
1.5430,-0.1384,0.3160,0.3375,0.0256,-0.2538,0.2054,235.7528,-24.9466,-2.0467,90.6492,
1.5630,-0.1384,0.3160,0.3375,0.0256,-0.2538,0.2054,235.5114,-24.9664,-2.3109,90.6492,
1.5670,-0.3989,-0.0338,0.7007,0.0256,-0.2538,0.2054,235.5114,-24.9664,-2.3109,90.6492,
1.5700,-0.3989,-0.0338,0.7007,0.0256,-0.2538,0.2054,235.5114,-24.9664,-2.3109,90.6492,
1.5720,-0.3989,-0.0338,0.7007,0.0256,-0.2538,0.2054,235.5114,-24.9664,-2.3109,90.6492,
1.6060,-0.3989,-0.0338,0.7007,0.0256,-0.2538,0.2054,235.5114,-24.9664,-2.3109,90.6492,
1.6090,-0.3989,-0.0338,0.7007,0.0256,-0.2538,0.2054,235.5114,-24.9664,-2.3109,90.6492,
1.6110,-0.3989,-0.0338,0.7007,0.4215,0.0230,-0.0591,235.5114,-24.9664,-2.3109,90.6492,
1.6300,-0.3989,-0.0338,0.7007,0.4215,0.0230,-0.0591,234.6922,-25.6692,-0.9273,90.6492,
1.6320,-0.0951,-1.3914,1.3929,0.4215,0.0230,-0.0591,234.6922,-25.6692,-0.9273,90.6492,
1.6330,-0.0951,-1.3914,1.3929,0.4215,0.0230,-0.0591,234.6922,-25.6692,-0.9273,90.6492,
1.6720,-0.0951,-1.3914,1.3929,0.4215,0.0230,-0.0591,234.6922,-25.6692,-0.9273,90.6492,
1.6760,-0.0951,-1.3914,1.3929,0.4215,0.0230,-0.0591,234.6922,-25.6692,-0.9273,90.6492,
1.6800,-0.0951,-1.3914,1.3929,0.1792,0.2451,-0.1109,234.6922,-25.6692,-0.9273,90.6492,
1.6840,-0.0951,-1.3914,1.3929,0.1792,0.2451,-0.1109,234.6922,-25.6692,-0.9273,90.6492,
1.6980,-0.0951,-1.3914,1.3929,0.1792,0.2451,-0.1109,234.9575,-26.4801,-1.8184,90.6492,
1.7020,0.7836,-1.0567,-1.0886,0.1792,0.2451,-0.1109,234.9575,-26.4801,-1.8184,90.6492,
1.7030,0.7836,-1.0567,-1.0886,0.1792,0.2451,-0.1109,234.9575,-26.4801,-1.8184,90.6492,
1.7380,0.7836,-1.0567,-1.0886,0.1792,0.2451,-0.1109,234.9575,-26.4801,-1.8184,90.6492,
1.7400,0.7836,-1.0567,-1.0886,0.1792,0.2451,-0.1109,234.9575,-26.4801,-1.8184,90.6492,
1.7460,0.7836,-1.0567,-1.0886,-0.1040,-0.0266,-0.0164,234.9575,-26.4801,-1.8184,90.6492,
1.7660,0.7836,-1.0567,-1.0886,-0.1040,-0.0266,-0.0164,235.4478,-26.8352,-2.6638,90.6492,
1.7680,0.3940,-1.1032,-0.1019,-0.1040,-0.0266,-0.0164,235.4478,-26.8352,-2.6638,90.6492,
1.7710,0.3940,-1.1032,-0.1019,-0.1040,-0.0266,-0.0164,235.4478,-26.8352,-2.6638,90.6492,
1.8050,0.3940,-1.1032,-0.1019,-0.1040,-0.0266,-0.0164,235.4478,-26.8352,-2.6638,91.8999,
1.8070,0.3940,-1.1032,-0.1019,-0.1040,-0.0266,-0.0164,235.4478,-26.8352,-2.6638,91.8999,
1.8140,0.3940,-1.1032,-0.1019,-0.0185,0.0795,-0.0710,235.4478,-26.8352,-2.6638,91.8999,
1.8340,0.3940,-1.1032,-0.1019,-0.0185,0.0795,-0.0710,235.3015,-26.1343,-2.0870,91.8999,
1.8370,0.3940,-1.1032,-0.1019,-0.0185,0.0795,-0.0710,235.3015,-26.1343,-2.0870,91.8999,
1.8390,0.3940,-1.1032,-0.1019,-0.0185,0.0795,-0.0710,235.3015,-26.1343,-2.0870,91.8999,
1.8410,0.9294,-1.5525,0.4978,-0.0185,0.0795,-0.0710,235.3015,-26.1343,-2.0870,91.8999,
1.8710,0.9294,-1.5525,0.4978,-0.0185,0.0795,-0.0710,235.3015,-26.1343,-2.0870,91.8999,
1.8820,0.9294,-1.5525,0.4978,-0.3168,0.2071,-0.0501,235.3015,-26.1343,-2.0870,91.8999,
1.8850,0.9294,-1.5525,0.4978,-0.3168,0.2071,-0.0501,235.3015,-26.1343,-2.0870,91.8999,
1.9030,0.9294,-1.5525,0.4978,-0.3168,0.2071,-0.0501,235.5721,-25.5194,-2.8319,91.8999,
1.9050,0.6908,-0.9542,-0.4713,-0.3168,0.2071,-0.0501,235.5721,-25.5194,-2.8319,91.8999,
1.9070,0.6908,-0.9542,-0.4713,-0.3168,0.2071,-0.0501,235.5721,-25.5194,-2.8319,91.8999,
1.9380,0.6908,-0.9542,-0.4713,-0.3168,0.2071,-0.0501,235.5721,-25.5194,-2.8319,91.8999,
1.9400,0.6908,-0.9542,-0.4713,-0.3168,0.2071,-0.0501,235.5721,-25.5194,-2.8319,91.8999,
1.9500,0.6908,-0.9542,-0.4713,-0.1920,0.1829,-0.1403,235.5721,-25.5194,-2.8319,91.8999,
1.9700,0.6908,-0.9542,-0.4713,-0.1920,0.1829,-0.1403,235.5732,-23.9967,-3.3675,91.8999,
1.9730,0.3762,-0.6313,-0.1902,-0.1920,0.1829,-0.1403,235.5732,-23.9967,-3.3675,91.8999,
1.9750,0.3762,-0.6313,-0.1902,-0.1920,0.1829,-0.1403,235.5732,-23.9967,-3.3675,91.8999,
1.9770,0.3762,-0.6313,-0.1902,-0.1920,0.1829,-0.1403,235.5732,-23.9967,-3.3675,91.8999,
2.0040,0.3762,-0.6313,-0.1902,-0.1920,0.1829,-0.1403,235.5732,-23.9967,-3.3675,91.8999,
2.0180,0.3762,-0.6313,-0.1902,-0.1617,-0.0086,-0.1255,235.5732,-23.9967,-3.3675,91.8999,
2.0210,0.3762,-0.6313,-0.1902,-0.1617,-0.0086,-0.1255,235.5732,-23.9967,-3.3675,91.8999,
2.0330,0.3762,-0.6313,-0.1902,-0.1617,-0.0086,-0.1255,235.5732,-23.9967,-3.3675,91.8999,
2.0390,0.3762,-0.6313,-0.1902,-0.1617,-0.0086,-0.1255,236.1588,-23.2787,-4.2848,91.8999,
2.0420,0.8496,-0.3833,-0.1033,-0.1617,-0.0086,-0.1255,236.1588,-23.2787,-4.2848,91.8999,
2.0710,0.8496,-0.3833,-0.1033,-0.1617,-0.0086,-0.1255,236.1588,-23.2787,-4.2848,89.7734,
2.0750,0.8496,-0.3833,-0.1033,-0.1617,-0.0086,-0.1255,236.1588,-23.2787,-4.2848,89.7734,
2.0850,0.8496,-0.3833,-0.1033,-0.1561,-0.2217,-0.0917,236.1588,-23.2787,-4.2848,89.7734,
2.1060,0.8496,-0.3833,-0.1033,-0.1561,-0.2217,-0.0917,236.1588,-23.2787,-4.2848,89.7734,
2.1090,0.8496,-0.3833,-0.1033,-0.1561,-0.2217,-0.0917,236.1588,-23.2787,-4.2848,89.7734,
2.1100,0.8496,-0.3833,-0.1033,-0.1561,-0.2217,-0.0917,236.5494,-22.5661,-3.7874,89.7734,
2.1130,0.3685,0.1024,0.0268,-0.1561,-0.2217,-0.0917,236.5494,-22.5661,-3.7874,89.7734,
2.1380,0.3685,0.1024,0.0268,-0.1561,-0.2217,-0.0917,236.5494,-22.5661,-3.7874,89.7734,
2.1550,0.3685,0.1024,0.0268,-0.1561,-0.2217,-0.0917,236.5494,-22.5661,-3.7874,89.7734,
2.1580,0.3685,0.1024,0.0268,-0.2224,-0.1280,-0.1602,236.5494,-22.5661,-3.7874,89.7734,
2.1740,0.8961,0.2404,-0.2651,-0.2224,-0.1280,-0.1602,236.5494,-22.5661,-3.7874,89.7734,
2.1790,0.8961,0.2404,-0.2651,-0.2224,-0.1280,-0.1602,236.5494,-22.5661,-3.7874,89.7734,
2.1810,0.8961,0.2404,-0.2651,-0.2224,-0.1280,-0.1602,237.0451,-21.8267,-2.9952,89.7734,
2.2040,0.8961,0.2404,-0.2651,-0.2224,-0.1280,-0.1602,237.0451,-21.8267,-2.9952,89.7734,
2.2060,0.8961,0.2404,-0.2651,-0.2224,-0.1280,-0.1602,237.0451,-21.8267,-2.9952,89.7734,
2.2230,0.8961,0.2404,-0.2651,-0.0751,-0.1218,-0.2367,237.0451,-21.8267,-2.9952,89.7734,
2.2420,0.8961,0.2404,-0.2651,-0.0751,-0.1218,-0.2367,237.7962,-21.1552,-2.6787,89.7734,
2.2450,0.8423,0.3199,-0.1356,-0.0751,-0.1218,-0.2367,237.7962,-21.1552,-2.6787,89.7734,
2.2470,0.8423,0.3199,-0.1356,-0.0751,-0.1218,-0.2367,237.7962,-21.1552,-2.6787,89.7734,
2.2490,0.8423,0.3199,-0.1356,-0.0751,-0.1218,-0.2367,237.7962,-21.1552,-2.6787,89.7734,
2.2710,0.8423,0.3199,-0.1356,-0.0751,-0.1218,-0.2367,237.7962,-21.1552,-2.6787,89.7734,
2.2820,0.8423,0.3199,-0.1356,-0.0751,-0.1218,-0.2367,237.7962,-21.1552,-2.6787,89.7734,
2.2890,0.8423,0.3199,-0.1356,-0.0985,-0.2462,-0.3210,237.7962,-21.1552,-2.6787,89.7734,
2.3100,0.8423,0.3199,-0.1356,-0.0985,-0.2462,-0.3210,238.8693,-20.9083,-2.2958,89.7734,
2.3140,0.7036,0.5886,-0.3728,-0.0985,-0.2462,-0.3210,238.8693,-20.9083,-2.2958,89.7734,
2.3170,0.7036,0.5886,-0.3728,-0.0985,-0.2462,-0.3210,238.8693,-20.9083,-2.2958,89.7734,
2.3400,0.7036,0.5886,-0.3728,-0.0985,-0.2462,-0.3210,238.8693,-20.9083,-2.2958,89.7734,
2.3430,0.7036,0.5886,-0.3728,-0.0985,-0.2462,-0.3210,238.8693,-20.9083,-2.2958,89.7734,
2.3580,0.7036,0.5886,-0.3728,-0.0046,-0.1929,-0.4552,238.8693,-20.9083,-2.2958,89.7734,
2.3790,0.7036,0.5886,-0.3728,-0.0046,-0.1929,-0.4552,240.5441,-20.6318,-1.7457,87.6276,
2.3830,0.8664,0.7730,-0.2236,-0.0046,-0.1929,-0.4552,240.5441,-20.6318,-1.7457,87.6276,
2.3850,0.8664,0.7730,-0.2236,-0.0046,-0.1929,-0.4552,240.5441,-20.6318,-1.7457,87.6276,
2.3860,0.8664,0.7730,-0.2236,-0.0046,-0.1929,-0.4552,240.5441,-20.6318,-1.7457,87.6276,
2.4040,0.8664,0.7730,-0.2236,-0.0046,-0.1929,-0.4552,240.5441,-20.6318,-1.7457,87.6276,
2.4260,0.8664,0.7730,-0.2236,-0.0046,-0.1929,-0.4552,240.5441,-20.6318,-1.7457,87.6276,
2.4280,0.8664,0.7730,-0.2236,-0.2316,-0.3823,-0.5237,240.5441,-20.6318,-1.7457,87.6276,
2.4460,0.8664,0.7730,-0.2236,-0.2316,-0.3823,-0.5237,242.6275,-20.6122,-1.3842,87.6276,
