time,gFx,gFy,gFz,TgF
2.155000,0.0222,0.3740,0.9415,1.013
2.162000,0.0232,0.3740,0.9418,1.014
2.164000,0.0247,0.3750,0.9418,1.014
2.170000,0.0254,0.3750,0.9437,1.016
2.175000,0.0230,0.3760,0.9493,1.021
2.180000,0.0200,0.3772,0.9557,1.028
2.184000,0.0176,0.3794,0.9611,1.033
2.189000,0.0151,0.3796,0.9645,1.037
2.194000,0.0137,0.3782,0.9635,1.035
2.199000,0.0129,0.3777,0.9615,1.033
2.203000,0.0132,0.3769,0.9579,1.029
2.210000,0.0147,0.3762,0.9535,1.025
2.212000,0.0156,0.3750,0.9520,1.023
2.218000,0.0178,0.3743,0.9501,1.021
2.222000,0.0195,0.3738,0.9469,1.018
2.229000,0.0191,0.3747,0.9459,1.018
2.233000,0.0181,0.3762,0.9471,1.019
2.237000,0.0159,0.3765,0.9488,1.021
2.241000,0.0129,0.3762,0.9506,1.022
2.246000,0.0115,0.3767,0.9523,1.024
2.253000,0.0103,0.3769,0.9540,1.026
2.257000,0.0090,0.3760,0.9535,1.025
2.261000,0.0093,0.3760,0.9520,1.024
2.266000,0.0098,0.3769,0.9503,1.022
2.271000,0.0105,0.3767,0.9474,1.020
2.275000,0.0110,0.3755,0.9459,1.018
2.281000,0.0107,0.3740,0.9466,1.018
2.286000,0.0127,0.3735,0.9471,1.018
2.290000,0.0142,0.3735,0.9474,1.018
2.295000,0.0142,0.3730,0.9479,1.019
2.300000,0.0164,0.3713,0.9484,1.019
2.306000,0.0183,0.3701,0.9488,1.019
2.310000,0.0195,0.3701,0.9493,1.019
2.315000,0.0215,0.3704,0.9491,1.019
2.320000,0.0247,0.3718,0.9496,1.020
2.325000,0.0266,0.3726,0.9501,1.021
2.330000,0.0276,0.3726,0.9510,1.022
2.334000,0.0281,0.3733,0.9525,1.023
2.338000,0.0288,0.3723,0.9530,1.024
2.343000,0.0308,0.3721,0.9532,1.024
2.349000,0.0310,0.3716,0.9528,1.023
2.354000,0.0288,0.3704,0.9520,1.022
2.358000,0.0276,0.3696,0.9510,1.021
2.363000,0.0269,0.3696,0.9498,1.020
2.369000,0.0269,0.3704,0.9496,1.020
2.373000,0.0281,0.3713,0.9513,1.022
2.378000,0.0286,0.3730,0.9523,1.023
2.383000,0.0278,0.3730,0.9532,1.024
2.388000,0.0264,0.3733,0.9557,1.026
2.395000,0.0249,0.3745,0.9579,1.029
2.396000,0.0222,0.3750,0.9584,1.029
2.402000,0.0198,0.3745,0.9572,1.028
2.406000,0.0188,0.3733,0.9547,1.025
2.412000,0.0183,0.3728,0.9506,1.021
2.417000,0.0198,0.3723,0.9474,1.018
2.421000,0.0210,0.3723,0.9447,1.016
2.426000,0.0215,0.3728,0.9422,1.014
2.431000,0.0235,0.3733,0.9401,1.012
2.436000,0.0257,0.3735,0.9371,1.009
2.440000,0.0281,0.3735,0.9366,1.009
2.445000,0.0303,0.3740,0.9376,1.010
2.451000,0.0320,0.3755,0.9381,1.011
2.455000,0.0327,0.3767,0.9403,1.013
2.460000,0.0335,0.3760,0.9427,1.015
2.465000,0.0352,0.3755,0.9435,1.016
2.470000,0.0357,0.3757,0.9452,1.018
2.476000,0.0347,0.3747,0.9471,1.019
2.479000,0.0318,0.3730,0.9484,1.020
2.484000,0.0291,0.3730,0.9496,1.021
2.490000,0.0274,0.3738,0.9493,1.021
2.495000,0.0252,0.3735,0.9488,1.020
2.500000,0.0227,0.3730,0.9479,1.019
2.504000,0.0213,0.3728,0.9466,1.018
2.511000,0.0195,0.3733,0.9471,1.018
2.517000,0.0176,0.3738,0.9481,1.019
2.519000,0.0147,0.3730,0.9501,1.021
2.524000,0.0137,0.3718,0.9523,1.022
2.532000,0.0139,0.3728,0.9515,1.022
2.533000,0.0159,0.3733,0.9491,1.020
2.537000,0.0188,0.3728,0.9457,1.017
2.548000,0.0210,0.3735,0.9430,1.014
2.549000,0.0247,0.3733,0.9408,1.012
2.551000,0.0266,0.3728,0.9393,1.011
2.557000,0.0264,0.3718,0.9403,1.011
2.561000,0.0269,0.3716,0.9408,1.012
2.566000,0.0293,0.3718,0.9396,1.011
2.572000,0.0296,0.3730,0.9396,1.011
2.576000,0.0278,0.3733,0.9418,1.013
2.582000,0.0264,0.3723,0.9452,1.016
2.587000,0.0249,0.3730,0.9491,1.020
2.592000,0.0244,0.3745,0.9528,1.024
2.596000,0.0232,0.3747,0.9550,1.026
2.601000,0.0220,0.3745,0.9552,1.026
2.606000,0.0215,0.3743,0.9552,1.026
2.621000,0.0210,0.3745,0.9550,1.026
2.621000,0.0208,0.3750,0.9552,1.026
2.622000,0.0210,0.3747,0.9569,1.028
2.624000,0.0217,0.3743,0.9589,1.030
2.631000,0.0220,0.3745,0.9579,1.029
2.634000,0.0220,0.3755,0.9564,1.028
2.644000,0.0213,0.3757,0.9557,1.027
2.645000,0.0200,0.3745,0.9557,1.027
2.649000,0.0200,0.3747,0.9564,1.027
2.653000,0.0203,0.3765,0.9564,1.028
2.659000,0.0200,0.3769,0.9569,1.029
2.663000,0.0203,0.3777,0.9567,1.029
2.668000,0.0195,0.3791,0.9564,1.029
2.672000,0.0191,0.3801,0.9554,1.028
2.678000,0.0191,0.3804,0.9562,1.029
2.683000,0.0178,0.3799,0.9562,1.029
2.688000,0.0161,0.3799,0.9542,1.027
2.694000,0.0144,0.3784,0.9537,1.026
2.696000,0.0144,0.3774,0.9540,1.026
2.701000,0.0147,0.3782,0.9547,1.027
2.706000,0.0147,0.3787,0.9542,1.027
2.711000,0.0161,0.3789,0.9520,1.025
2.716000,0.0173,0.3787,0.9513,1.024
2.722000,0.0169,0.3784,0.9508,1.023
2.726000,0.0159,0.3794,0.9513,1.024
2.731000,0.0161,0.3794,0.9530,1.026
2.736000,0.0164,0.3789,0.9545,1.027
2.741000,0.0171,0.3799,0.9567,1.029
2.745000,0.0176,0.3811,0.9581,1.031
2.750000,0.0171,0.3818,0.9586,1.032
2.755000,0.0169,0.3828,0.9581,1.032
2.761000,0.0166,0.3833,0.9584,1.032
2.765000,0.0154,0.3835,0.9581,1.032
2.771000,0.0151,0.3831,0.9572,1.031
2.776000,0.0156,0.3821,0.9557,1.029
2.780000,0.0156,0.3813,0.9540,1.027
2.785000,0.0169,0.3816,0.9525,1.026
